date,symbol,trade_type,entry_time,entry_price,exit_time,exit_price,pnl_percent,exit_reason
2024-02-29,EICHERMOT,sell,2024-02-29 13:15:00,3777.55,2024-02-29 13:25:00,3786.993875,-0.25,Stop Loss Hit
2024-02-29,EICHERMOT,sell,2024-02-29 13:25:00,3794.35,2024-02-29 14:50:00,3803.8358749999998,-0.25,Stop Loss Hit
2024-02-29,EICHERMOT,sell,2024-02-29 14:50:00,3810.1,2024-02-29 15:00:00,3791.0495,0.5,Target Hit
2024-02-29,EICHERMOT,sell,2024-02-29 15:00:00,3783.65,2024-02-29 15:05:00,3793.109125,-0.25,Stop Loss Hit
2024-02-29,EICHERMOT,sell,2024-02-29 15:05:00,3787.5,2024-02-29 15:10:00,3796.96875,-0.25,Stop Loss Hit
2024-02-29,EICHERMOT,sell,2024-02-29 15:10:00,3795.95,2024-02-29 15:15:00,3797.9,-0.05,Time Exit (15:15)
2024-02-29,EICHERMOT,sell,2024-02-29 15:15:00,3797.9,2024-02-29 15:20:00,3793.05,0.13,Time Exit (15:15)
2024-02-29,EICHERMOT,sell,2024-02-29 15:20:00,3793.05,2024-02-29 15:25:00,3802.532625,-0.25,Stop Loss Hit
2024-03-01,EICHERMOT,sell,2024-03-01 09:20:00,3799.2,2024-03-01 09:45:00,3780.2039999999997,0.5,Target Hit
2024-03-01,EICHERMOT,sell,2024-03-01 09:45:00,3784.2,2024-03-01 09:50:00,3793.6604999999995,-0.25,Stop Loss Hit
2024-03-01,EICHERMOT,sell,2024-03-01 09:50:00,3797.15,2024-03-01 10:20:00,3806.642875,-0.25,Stop Loss Hit
2024-03-01,EICHERMOT,buy,2024-03-01 10:25:00,3831.3,2024-03-01 10:50:00,3850.4565,0.5,Target Hit
2024-03-01,EICHERMOT,buy,2024-03-01 10:50:00,3849.15,2024-03-01 10:55:00,3868.3957499999997,0.5,Target Hit
2024-03-01,EICHERMOT,buy,2024-03-01 10:55:00,3855.05,2024-03-01 11:05:00,3845.4123750000003,-0.25,Stop Loss Hit
2024-03-01,EICHERMOT,buy,2024-03-01 11:05:00,3849.5,2024-03-01 11:45:00,3839.8762500000003,-0.25,Stop Loss Hit
2024-03-01,EICHERMOT,buy,2024-03-01 11:45:00,3839.3,2024-03-01 12:10:00,3829.70175,-0.25,Stop Loss Hit
2024-03-01,EICHERMOT,buy,2024-03-01 12:10:00,3821.7,2024-03-01 12:20:00,3812.14575,-0.25,Stop Loss Hit
2024-03-01,EICHERMOT,buy,2024-03-01 12:55:00,3829.3,2024-03-01 13:55:00,3848.4464999999996,0.5,Target Hit
2024-03-01,EICHERMOT,buy,2024-03-01 13:55:00,3846.9,2024-03-01 15:15:00,3841.35,-0.14,Time Exit (15:15)
2024-03-01,EICHERMOT,buy,2024-03-01 15:15:00,3841.35,2024-03-01 15:20:00,3846.0,0.12,Time Exit (15:15)
2024-03-01,EICHERMOT,buy,2024-03-01 15:20:00,3846.0,2024-03-01 15:25:00,3844.85,-0.03,Time Exit (15:15)
2024-03-02,EICHERMOT,sell,2024-03-02 09:20:00,3839.0,2024-03-02 09:25:00,3848.5975,-0.25,Stop Loss Hit
2024-03-02,EICHERMOT,sell,2024-03-02 09:25:00,3850.0,2024-03-02 09:35:00,3859.625,-0.25,Stop Loss Hit
2024-03-02,EICHERMOT,buy,2024-03-02 09:45:00,3863.5,2024-03-02 11:30:00,3853.8412500000004,-0.25,Stop Loss Hit
2024-03-02,EICHERMOT,sell,2024-03-02 11:30:00,3850.0,2024-03-02 11:35:00,3859.625,-0.25,Stop Loss Hit
2024-03-04,EICHERMOT,sell,2024-03-04 09:20:00,3809.75,2024-03-04 09:25:00,3790.70125,0.5,Target Hit
2024-03-04,EICHERMOT,sell,2024-03-04 09:25:00,3801.5,2024-03-04 09:30:00,3811.00375,-0.25,Stop Loss Hit
2024-03-04,EICHERMOT,sell,2024-03-04 09:30:00,3803.05,2024-03-04 10:20:00,3784.0347500000003,0.5,Target Hit
2024-03-04,EICHERMOT,sell,2024-03-04 10:20:00,3782.2,2024-03-04 10:30:00,3791.6554999999994,-0.25,Stop Loss Hit
2024-03-04,EICHERMOT,sell,2024-03-04 10:30:00,3796.0,2024-03-04 10:55:00,3777.02,0.5,Target Hit
2024-03-04,EICHERMOT,sell,2024-03-04 10:55:00,3779.55,2024-03-04 11:35:00,3788.9988749999998,-0.25,Stop Loss Hit
2024-03-04,EICHERMOT,sell,2024-03-04 11:35:00,3791.8,2024-03-04 13:25:00,3772.8410000000003,0.5,Target Hit
2024-03-04,EICHERMOT,sell,2024-03-04 13:25:00,3777.05,2024-03-04 14:05:00,3758.1647500000004,0.5,Target Hit
2024-03-04,EICHERMOT,sell,2024-03-04 14:05:00,3759.15,2024-03-04 15:15:00,3745.05,0.38,Time Exit (15:15)
2024-03-04,EICHERMOT,sell,2024-03-04 15:15:00,3745.05,2024-03-04 15:20:00,3749.1,-0.11,Time Exit (15:15)
2024-03-04,EICHERMOT,sell,2024-03-04 15:20:00,3749.1,2024-03-04 15:25:00,3751.95,-0.08,Time Exit (15:15)
2024-03-05,EICHERMOT,buy,2024-03-05 09:20:00,3791.25,2024-03-05 09:25:00,3781.7718750000004,-0.25,Stop Loss Hit
2024-03-05,EICHERMOT,buy,2024-03-05 09:25:00,3777.9,2024-03-05 09:50:00,3768.4552500000004,-0.25,Stop Loss Hit
2024-03-05,EICHERMOT,sell,2024-03-05 10:15:00,3755.2,2024-03-05 10:35:00,3764.5879999999997,-0.25,Stop Loss Hit
2024-03-05,EICHERMOT,buy,2024-03-05 13:55:00,3784.55,2024-03-05 14:25:00,3775.0886250000003,-0.25,Stop Loss Hit
2024-03-05,EICHERMOT,buy,2024-03-05 14:25:00,3775.35,2024-03-05 15:00:00,3794.2267499999994,0.5,Target Hit
2024-03-05,EICHERMOT,buy,2024-03-05 15:00:00,3794.85,2024-03-05 15:15:00,3789.65,-0.14,Time Exit (15:15)
2024-03-05,EICHERMOT,buy,2024-03-05 15:15:00,3789.65,2024-03-05 15:20:00,3794.95,0.14,Time Exit (15:15)
2024-03-05,EICHERMOT,buy,2024-03-05 15:20:00,3794.95,2024-03-05 15:25:00,3792.0,-0.08,Time Exit (15:15)
2024-03-06,EICHERMOT,sell,2024-03-06 10:00:00,3758.15,2024-03-06 10:05:00,3767.5453749999997,-0.25,Stop Loss Hit
2024-03-06,EICHERMOT,sell,2024-03-06 10:05:00,3771.35,2024-03-06 10:30:00,3780.778375,-0.25,Stop Loss Hit
2024-03-06,EICHERMOT,sell,2024-03-06 10:55:00,3766.7,2024-03-06 11:25:00,3776.1167499999997,-0.25,Stop Loss Hit
2024-03-06,EICHERMOT,sell,2024-03-06 11:40:00,3763.0,2024-03-06 12:10:00,3744.185,0.5,Target Hit
2024-03-06,EICHERMOT,sell,2024-03-06 12:10:00,3745.0,2024-03-06 13:05:00,3754.3624999999997,-0.25,Stop Loss Hit
2024-03-06,EICHERMOT,sell,2024-03-06 13:05:00,3752.65,2024-03-06 13:20:00,3762.031625,-0.25,Stop Loss Hit
2024-03-06,EICHERMOT,sell,2024-03-06 13:20:00,3765.45,2024-03-06 13:40:00,3774.8636249999995,-0.25,Stop Loss Hit
2024-03-07,EICHERMOT,sell,2024-03-07 10:05:00,3779.15,2024-03-07 10:30:00,3788.597875,-0.25,Stop Loss Hit
2024-03-07,EICHERMOT,sell,2024-03-07 10:30:00,3780.95,2024-03-07 10:45:00,3762.0452499999997,0.5,Target Hit
2024-03-07,EICHERMOT,sell,2024-03-07 10:45:00,3764.0,2024-03-07 11:00:00,3773.41,-0.25,Stop Loss Hit
2024-03-07,EICHERMOT,sell,2024-03-07 11:00:00,3771.15,2024-03-07 11:05:00,3780.577875,-0.25,Stop Loss Hit
2024-03-07,EICHERMOT,sell,2024-03-07 11:05:00,3779.65,2024-03-07 12:50:00,3789.0991249999997,-0.25,Stop Loss Hit
2024-03-07,EICHERMOT,sell,2024-03-07 12:50:00,3787.6,2024-03-07 12:55:00,3797.0689999999995,-0.25,Stop Loss Hit
2024-03-07,EICHERMOT,sell,2024-03-07 13:40:00,3781.1,2024-03-07 14:15:00,3790.55275,-0.25,Stop Loss Hit
2024-03-07,EICHERMOT,sell,2024-03-07 14:15:00,3795.3,2024-03-07 15:15:00,3784.0,0.3,Time Exit (15:15)
2024-03-07,EICHERMOT,sell,2024-03-07 15:20:00,3782.05,2024-03-07 15:25:00,3778.15,0.1,Time Exit (15:15)
2024-03-11,EICHERMOT,sell,2024-03-11 09:45:00,3783.8,2024-03-11 10:35:00,3793.2595,-0.25,Stop Loss Hit
2024-03-11,EICHERMOT,sell,2024-03-11 11:05:00,3784.2,2024-03-11 11:30:00,3793.6604999999995,-0.25,Stop Loss Hit
2024-03-11,EICHERMOT,buy,2024-03-11 11:40:00,3809.6,2024-03-11 11:55:00,3800.076,-0.25,Stop Loss Hit
2024-03-11,EICHERMOT,buy,2024-03-11 11:55:00,3809.8,2024-03-11 12:10:00,3800.2755,-0.25,Stop Loss Hit
2024-03-11,EICHERMOT,buy,2024-03-11 12:10:00,3798.35,2024-03-11 13:10:00,3788.8541250000003,-0.25,Stop Loss Hit
2024-03-11,EICHERMOT,sell,2024-03-11 13:15:00,3792.25,2024-03-11 15:15:00,3777.95,0.38,Time Exit (15:15)
2024-03-11,EICHERMOT,sell,2024-03-11 15:15:00,3777.95,2024-03-11 15:20:00,3784.05,-0.16,Time Exit (15:15)
2024-03-11,EICHERMOT,sell,2024-03-11 15:20:00,3784.05,2024-03-11 15:25:00,3775.05,0.24,Time Exit (15:15)
